Battle Ground	45°47'N	122°32'W
Battle Lake	46°17'N	95°43'W
Battle Mountain	40°38'N	116°56'W
Baudette	48°43'N	94°36'W
Baxley	31°47'N	82°21'W
Baxter	46°21'N	94°17'W
Baxter Springs	37°02'N	94°44'W
Bay City, Mich.	43°36'N	83°54'W
Bay City, Tex.	28°59'N	95°58'W
Bay Minette	30°53'N	87°46'W
Bay St. Louis	30°19'N	86°20'W
Bay Springs	31°59'N	89°17'W
Bayard, N. Mex.	32°46'N	108°08'W
Bayard, Nebr.	41°45'N	103°20'W
Bayfield	46°49'N	90°49'W
Bayonne	40°40'N	74°07'W
Baytown	29°43'N	94°59'W
Beach	46°58'N	104°00'W
Beach City	40°39'N	81°35'W
Beals Cr.	32°10'N	100°51'W
Bear, Calif.	38°56'N	121°36'W
Bear, Utah	41°30'N	112°08'W
Bear L.	41°59'N	111°21'W
Beardstown	24°20'N	79°51'E
Bearpaw Mts	48°12'N	109°30'W
Beatrice	40°16'N	96°45'W
Beatty	36°54'N	116°46'W
Beaufort, N.C.	34°43'N	76°40'W
Beaufort, S.C.	32°26'N	80°40'W
Beaumont	30°05'N	94°06'W
Beaver, Okla.	36°49'N	100°31'W
Beaver, Pa.	40°42'N	80°19'W
Beaver, Utah	38°17'N	112°38'W
Beaver	36°35'N	99°30'W
Beaver City	40°08'N	99°50'W
Beaver Dam	43°28'N	88°50'W
Beaver Falls	40°46'N	80°20'W
Beaver I.	45°40'N	85°33'W
Beaverton	45°29'N	122°48'W
Beckley	37°47'N	81°11'W
Bedford, Ind.	38°52'N	86°29'W
Bedford, Iowa	40°40'N	94°44'W
Bedford, Ohio	41°23'N	81°32'W
Bedford, Pa.	40°01'N	78°30'W
Bedford, Va.	37°20'N	79°31'E
Beech Creek	41°05'N	77°36'W
Beeville	28°24'N	97°45'W
Behm Canal	55°10'N	131°00'W
Belden	40°02'N	121°17'W
Belen	34°40'N	106°46'W
Belfair	47°27'N	122°50'W
Belfast, Maine	44°26'N	69°01'W
Belfast, N.Y.	42°21'N	78°07'W
Belfield	46°53'N	103°12'W
Belfry	45°53'N	103°12'W
Belgrade	45°47'N	111°11'W
Belhaven	35°33'N	76°37'W
Bellaire	40°01'N	80°45'W
Belle-Chasse	29°51'N	89°59'W
Belle Fourche	44°40'N	103°51'W
Belle Fourche	44°26'N	102°18'W
Belle Glade	26°41'N	80°40'W
Belle Plaine	41°54'N	92°17'W
Bellefontaine	40°22'N	83°46'W
Bellefonte	40°55'N	77°47'W
Belleville, III.	38°31'N	89°59'W
Belleville, Kans.	39°50'N	97°38'W
Belleville, N.Y.	43°46'N	76°10'W
Bellevue, Idaho	43°28'N	114°16'W
Bellevue, Nebr.	41°08'N	95°53'W
Bellevue, Ohio	41°17'N	82°51'W
Bellevue, Wash.	47°37'N	122°12'W
Bellingham	48°46'N	122°29'W
Bellows Falls	43°08'N	72°27'W
Bellwood	40°36'N	78°20'W
Belmont	42°14'N	78°02'W
Beloit, Kans.	39°28'N	98°06'W
Beloit, Wis.	42°31'N	89°02'W
Belpre	39°17'N	81°34'W
Belt	47°23'N	110°55'W
Belton	31°03'N	97°28'W
Belton L.	31°08'N	97°32'W
Belvidere, III.	42°15'N	88°50'W
Belvidere, N.J.	40°50'N	75°05'W
Belzoni	33°11'N	90°29'W
Bemidji	47°28'N	94°53'W
Benavides	27°36'N	98°25'W
Bend	44°04'N	121°19'W
Benicia	38°03'N	122°09'W
Benkelman	40°03'N	101°32'W
Bennettsville	34°37'N	79°41'W
Bennington, N. H.	43°00'N	71°55'W
Bennington, Vt.	42°53'N	73°12'W
Benson, Ariz	31°58'N	110°18'W
Benson Minn.	45°19'N	95°36'W
Benton, Ark.	34°34'N	92°35'W
Benton, Calif	37°48'N	118°32'W
Benton, III.	38°00'N	88°55'W
Benton, Pa.	41°12'N	76°23'W
Benton Harbor	42°06'N	86°27'W
Bentonville	36°22'N	94°13'W
Berea	37°34'N	84°17'W
Beresford	43°05'N	96°47'W
Bergen	43°05'N	77°57'W
Bergholz	40°31'N	80°53'W
Berkeley	37°52'N	122°16'W
Berkshire	42°19'N	76°11'W
Berlin, Md.	38°20'N	75°13'W
Berlin, N.H.	44°28'N	71°11'W
